Sezon,Ora,Temperatura,Umbra,Radiatia Solara,Kw
Toamna,8,10,96,9,985
Iarna,10,-8,43,8,39
Toamna,8,14,6,9,456
Iarna,15,-12,36,10,106
Vara,11,26,6,5,1055
Primavara,8,16,37,5,700
Iarna,16,3,57,7,339
Primavara,9,24,22,3,521
Primavara,10,27,61,7,2215
Vara,8,26,44,10,1262
Toamna,11,25,38,3,258
Vara,8,35,87,7,2532
Iarna,12,2,38,10,48
Vara,8,40,21,9,507
Vara,8,29,44,8,1918
Primavara,12,21,79,3,1885
Iarna,11,-9,79,6,402
Iarna,15,-17,46,6,194
Iarna,14,-13,80,6,321
Toamna,12,22,31,5,154
Iarna,8,-4,45,6,109
Iarna,16,-19,3,9,183
Primavara,9,19,19,2,666
Toamna,16,12,1,4,182
Iarna,9,1,22,4,146
Iarna,15,5,22,7,201
Vara,15,37,47,6,819
Toamna,14,14,57,8,670
Iarna,11,-12,20,4,23
Iarna,8,-13,96,10,372
Toamna,8,17,26,5,301
Iarna,12,-9,84,3,296
Vara,14,39,14,2,956
Primavara,13,22,71,2,1558
Primavara,11,29,72,10,2330
Vara,10,35,5,9,727
Toamna,16,14,50,10,130
Iarna,15,-17,65,4,425
Vara,13,27,25,7,969
Primavara,11,15,63,3,1071
Toamna,10,18,10,4,334
Primavara,12,16,79,2,1685
Primavara,9,28,56,2,1109
Toamna,16,12,96,2,695
Primavara,10,27,32,2,766
Iarna,11,-20,60,2,376
Toamna,13,15,32,2,191
Toamna,14,18,7,4,447
Vara,16,25,83,4,4906
Iarna,12,-15,47,8,208
Primavara,15,20,5,8,971
Vara,11,26,71,4,3658
Iarna,12,-15,91,7,489
Primavara,11,21,85,6,1740
Vara,15,36,61,3,4601
Vara,14,26,52,3,2878
Toamna,11,11,30,4,375
Toamna,9,13,81,2,962
Toamna,12,21,16,2,241
Primavara,13,26,60,2,2079
Primavara,11,26,63,8,1679
Vara,15,36,14,10,510
Primavara,9,15,44,6,848
Primavara,8,23,33,5,533
Vara,16,39,62,10,4830
Toamna,8,17,62,3,709
Vara,8,25,77,3,2965
Toamna,14,20,32,10,388
Vara,8,30,20,8,1692
Primavara,10,28,90,4,2490
Vara,11,28,30,6,1774
Toamna,9,12,81,7,870
Toamna,9,12,11,10,493
Toamna,9,16,78,7,776
Vara,10,32,6,4,2279
Vara,16,33,63,9,3108
Primavara,11,22,39,10,548
Toamna,11,22,20,2,234
Toamna,16,17,66,6,650
Vara,11,34,64,4,4989
Toamna,16,12,36,10,175
Vara,9,29,14,7,2235
Iarna,14,-11,45,7,11
Primavara,10,28,40,3,585
Toamna,12,11,99,6,1000
Primavara,11,17,81,2,1139
Primavara,16,28,45,2,513
Vara,14,27,24,5,1140
Primavara,9,25,58,7,1070
Primavara,13,26,7,8,833
Iarna,13,-4,10,3,139
Vara,16,40,13,8,540
Vara,13,36,38,7,965
Primavara,9,28,34,10,793
Toamna,10,17,61,10,860
Iarna,13,-4,2,4,123
Primavara,14,22,48,2,690
Primavara,15,24,20,2,809
Vara,9,36,96,10,2620
Vara,12,35,15,5,1234
Iarna,16,3,69,10,322
Primavara,10,27,66,7,2357
Vara,9,26,83,5,4198
Iarna,14,-18,27,7,125
Vara,15,39,21,4,2432
Toamna,9,15,95,9,564
Primavara,15,25,97,6,2344
Primavara,11,19,21,7,939
Primavara,9,27,86,3,1562
Primavara,15,29,82,8,1180
Primavara,9,23,36,8,559
Iarna,9,3,30,10,55
Iarna,15,-19,76,3,408
Iarna,10,-3,35,8,124
Primavara,11,17,34,7,720
Primavara,8,19,21,4,602
Vara,16,26,70,5,4992
Vara,16,40,11,7,1294
Primavara,8,24,57,10,2008
Primavara,8,22,77,2,1955
Vara,15,25,26,6,2425
Iarna,8,-10,63,8,329
Iarna,13,3,2,8,92
Vara,14,40,71,9,4352
Vara,11,31,53,8,2864
Primavara,11,23,54,2,1122
Vara,12,31,16,9,1384
Iarna,12,-9,72,3,388
Toamna,8,13,83,9,908
Iarna,9,-2,46,2,218
Primavara,15,27,86,6,1802
Vara,9,35,98,8,3770
Toamna,15,23,82,7,846
Iarna,8,2,74,5,408
Toamna,15,12,49,7,295
Vara,9,31,99,6,2806
Iarna,12,-16,51,5,459
Toamna,16,21,23,7,127
Primavara,16,23,54,6,2101
Vara,9,31,78,7,3216
Primavara,14,24,26,7,947
Primavara,11,28,0,7,902
Primavara,10,25,74,6,2063
Vara,9,30,1,8,1543
Vara,13,36,12,6,1873
Toamna,16,22,66,8,779
Toamna,14,13,14,3,225
Vara,10,35,48,9,1490
Iarna,11,-6,63,2,410
Toamna,11,22,58,3,570
Iarna,15,-4,87,7,378
Toamna,15,15,96,3,676
Primavara,14,24,50,4,924
Toamna,10,18,84,4,653
Vara,15,28,87,2,4201
Primavara,10,19,42,2,849
Primavara,14,30,19,10,648
Vara,11,29,23,2,2043
Toamna,13,10,78,3,968
Primavara,14,18,74,5,1137
Toamna,13,13,33,2,123
Toamna,12,17,99,10,770
Primavara,11,18,77,7,1916
Toamna,16,22,29,8,448
Toamna,16,20,24,5,404
Vara,16,29,24,3,1949
Primavara,15,30,59,9,1407
Primavara,13,17,79,6,2115
Vara,14,28,51,5,4247
Iarna,13,-8,40,6,191
Iarna,9,-14,60,8,341
Primavara,11,28,92,2,1115
Vara,14,37,0,5,663
Vara,14,40,85,2,4689
Iarna,10,-1,4,9,145
Vara,8,27,47,8,1871
Primavara,13,19,4,2,766
Toamna,15,17,75,6,851
Iarna,12,4,10,4,145
Primavara,14,20,33,5,514
Iarna,10,-5,78,8,447
Iarna,15,-2,20,10,71
Toamna,16,24,90,10,506
Vara,16,27,85,10,4639
Toamna,8,12,56,6,504
Vara,13,38,59,8,2656
Iarna,13,-9,3,8,226
Primavara,11,26,9,2,846
Toamna,13,18,71,5,907
Iarna,9,-20,48,8,176
Toamna,9,13,99,8,991
Primavara,11,23,87,2,2294
Iarna,10,-14,34,5,209
Iarna,8,-18,77,7,260
Toamna,14,22,10,3,425
Toamna,14,25,48,10,296
Primavara,16,17,35,5,628
Vara,15,33,62,5,4958
Toamna,12,11,66,8,594
Vara,15,34,100,10,4191
Iarna,14,3,79,9,269
Iarna,14,4,58,10,343
Vara,10,33,27,4,1595
Primavara,16,29,68,7,1233
Toamna,11,22,10,5,335
Iarna,12,-5,99,10,292
Vara,10,34,55,9,2695
Primavara,9,25,49,7,725
Vara,16,29,13,9,1628
Iarna,15,-3,33,6,164
Toamna,15,21,67,5,691
Iarna,16,-14,68,10,313
Iarna,8,3,38,9,172
Vara,12,29,26,6,738
Toamna,11,21,5,3,383
Iarna,10,-3,16,6,147
Primavara,12,30,73,3,1879
Toamna,13,11,43,3,471
Vara,10,31,74,2,2868
Iarna,9,-14,41,2,191
Toamna,13,10,40,8,362
Vara,15,32,32,7,2167
Primavara,13,30,84,3,1788
Iarna,14,-6,3,5,5
Primavara,14,23,45,9,687
Vara,12,31,48,5,2012
Primavara,15,23,92,8,2036
Primavara,11,29,10,4,703
Vara,10,28,29,4,1596
Vara,14,29,39,3,1692
Primavara,12,23,77,5,1277
Iarna,10,-12,11,7,169
Toamna,15,20,51,7,720
Primavara,15,18,18,8,678
Iarna,9,-8,32,6,36
Toamna,16,25,37,8,468
Primavara,16,22,77,3,1672
Vara,13,31,66,6,2626
Iarna,9,-6,16,4,231
Iarna,16,1,14,10,246
Iarna,12,-4,91,10,431
Vara,9,30,7,7,1582
Primavara,13,25,97,9,1950
Vara,8,25,56,4,2731
Toamna,10,16,100,7,514
Vara,14,34,35,4,1157
Primavara,8,22,100,4,1517
Iarna,12,-14,7,5,52
Primavara,15,27,96,8,2030
Toamna,15,11,80,8,666
Toamna,15,19,71,4,729
Iarna,8,-1,53,4,396
Toamna,8,25,71,10,830
Vara,12,25,63,5,4245
Iarna,16,-18,2,6,93
Vara,9,36,98,4,2595
Primavara,15,25,49,7,517
Toamna,11,18,58,6,864
Iarna,10,-13,54,10,459
Primavara,10,17,57,3,2120
Primavara,12,19,97,2,2099
Iarna,12,-18,43,8,206
Vara,10,37,10,3,632
Toamna,13,13,8,5,393
Toamna,9,11,51,9,883
Primavara,15,28,98,9,1874
Iarna,12,-5,39,8,14
Toamna,8,16,54,2,808
Iarna,14,-3,18,7,232
Primavara,13,17,42,7,987
Vara,8,39,0,5,910
Iarna,16,-3,61,2,345
Vara,12,40,17,10,2469
Toamna,13,13,27,10,109
Iarna,16,-13,97,6,499
Primavara,15,29,54,3,1437
Primavara,13,19,34,4,816
Primavara,8,28,10,9,664
Vara,14,34,72,9,3938
Primavara,16,17,66,3,1022
Vara,8,36,33,4,2398
Iarna,10,5,56,2,353
Vara,8,32,32,2,820
Primavara,12,28,26,7,606
Vara,10,36,45,10,662
Iarna,12,-17,71,2,432
Iarna,14,-2,11,6,225
Primavara,10,23,92,7,1399
Primavara,14,18,14,5,906
Primavara,16,21,45,8,789
Primavara,16,18,28,9,938
Iarna,8,2,29,2,238
Toamna,14,10,46,3,157
Iarna,9,-5,51,4,429
Vara,10,25,53,2,4234
Iarna,11,-14,94,2,407
Toamna,15,25,98,10,745
Iarna,15,-19,69,10,472
Primavara,8,22,81,4,1236
Toamna,12,23,0,10,293
Vara,11,36,40,3,2013
Toamna,13,13,57,3,571
Toamna,15,17,24,3,172
Iarna,8,-14,40,8,104
Vara,12,32,81,9,4976
Iarna,11,5,82,6,357
Vara,13,31,64,10,4088
Iarna,8,-5,52,2,466
Toamna,10,13,55,2,586
Toamna,13,23,55,8,512
Primavara,10,19,92,6,1605
Vara,11,30,17,8,2202
Primavara,10,17,35,10,885
Iarna,9,-7,6,6,47
Toamna,16,15,70,6,670
Toamna,14,13,90,6,961
Toamna,8,15,36,8,118
Iarna,15,1,98,9,471
Primavara,8,29,56,3,1219
Iarna,11,-3,14,6,228
Iarna,15,5,86,6,334
Vara,10,37,7,2,1337
Iarna,13,-11,55,10,437
Iarna,13,-18,16,10,86
Toamna,14,15,77,9,710
Vara,15,33,14,4,2474
Toamna,9,18,31,8,485
Toamna,13,13,16,5,267
Primavara,8,24,90,9,1131
Toamna,9,23,58,3,834
Primavara,14,18,88,10,2124
Toamna,15,11,20,2,267
Primavara,8,19,88,6,2440
Iarna,16,-19,76,6,424
Toamna,10,21,43,8,167
Iarna,13,-5,15,10,202
Iarna,9,-16,31,9,242
Iarna,12,3,68,6,485
Vara,15,30,77,10,3885
Iarna,8,-13,2,4,161
Vara,15,30,3,6,1661
Vara,8,34,94,2,3184
Iarna,11,5,63,7,475
Iarna,14,-19,29,7,230
Iarna,12,-9,78,7,433
Toamna,15,12,82,5,865
Toamna,8,16,20,5,464
Iarna,15,1,59,8,413
Primavara,13,19,13,3,547
Primavara,10,18,28,6,866
Primavara,13,15,81,3,1278
Vara,11,35,68,2,4985
Iarna,15,-15,97,7,261
Toamna,9,14,87,2,549
Vara,12,32,6,5,571
Primavara,16,15,60,6,2440
Toamna,12,25,68,4,956
Toamna,15,20,57,4,547
Primavara,11,26,34,3,912
Primavara,14,17,76,5,1163
Vara,16,28,63,4,4843
Toamna,9,11,74,7,947
Primavara,16,28,33,4,643
Toamna,16,25,37,5,124
Iarna,15,-4,53,8,292
Primavara,15,19,40,2,601
Primavara,8,23,44,4,606
Primavara,13,23,28,5,661
Vara,8,29,33,8,2485
Toamna,15,24,1,4,196
Primavara,12,30,43,6,668
Iarna,11,-6,26,8,238
Primavara,8,29,95,4,1503
Vara,8,36,70,10,4420
Toamna,15,23,42,2,191
Toamna,9,25,5,5,219
Toamna,16,14,52,3,941
Primavara,10,23,98,8,1748
Primavara,14,22,59,4,1118
Toamna,15,19,9,2,490
Vara,11,25,45,9,1032
Vara,15,25,79,9,3545
Iarna,10,2,22,9,189
Primavara,13,28,43,3,983
Primavara,8,19,23,8,629
Vara,11,30,25,4,1256
Iarna,16,-16,82,9,425
Vara,10,26,24,3,2152
Toamna,9,20,39,6,145
Toamna,15,20,29,8,136
Toamna,8,18,95,6,507
Vara,14,38,25,7,1531
Toamna,11,23,51,4,680
Toamna,13,21,9,10,189
Toamna,12,18,27,6,173
Toamna,9,14,47,10,297
Primavara,15,16,74,3,1528
Iarna,12,0,41,3,238
Toamna,8,13,93,3,576
Iarna,8,-6,55,7,370
Toamna,15,25,55,7,646
Toamna,10,20,3,4,143
Iarna,13,0,47,9,189
Iarna,13,-11,58,8,410
Iarna,13,-3,91,6,352
Iarna,11,4,87,3,466
Iarna,11,-2,89,2,356
Primavara,16,30,100,3,2275
Toamna,15,14,76,4,857
Iarna,9,2,91,9,408
Vara,16,26,34,3,1960
Vara,15,25,91,10,3287
Primavara,16,23,94,8,1031
Primavara,14,19,14,5,722
Iarna,15,0,54,8,411
Primavara,10,29,69,10,1742
Primavara,14,22,16,7,959
Vara,12,37,45,6,833
Iarna,13,-20,41,7,198
Iarna,15,-8,44,2,36
Primavara,16,24,29,10,569
Vara,13,40,50,5,1427
Toamna,11,22,30,5,159
Vara,14,31,65,5,3752
Toamna,15,23,24,2,224
Iarna,9,1,13,6,30
Iarna,14,-1,87,10,462
Iarna,16,-8,0,3,168
Iarna,15,-19,26,5,222
Primavara,13,20,93,10,1865
Iarna,10,-7,97,4,361
Iarna,11,-19,34,5,158
Iarna,16,-7,39,2,34
Iarna,14,-7,81,8,258
Primavara,13,20,11,6,509
Vara,12,30,80,8,4886
Primavara,8,29,85,4,1752
Primavara,13,24,36,5,892
Vara,14,33,56,8,3387
Iarna,15,-9,73,5,495
Toamna,14,16,68,6,962
Iarna,9,-1,27,6,151
Iarna,14,5,30,6,42
Primavara,12,25,58,5,2036
Toamna,13,18,78,9,567
Toamna,15,11,12,8,292
Vara,15,39,12,2,1896
Vara,14,32,9,2,2069
Iarna,9,4,70,7,268
Primavara,15,28,58,6,1172
Primavara,8,19,75,9,1940
Iarna,8,0,10,5,74
Vara,13,27,61,4,3726
Iarna,14,-19,58,8,259
Primavara,15,23,43,4,767
Iarna,11,1,36,2,31
Vara,14,39,17,6,2125
Vara,14,26,58,10,2923
Toamna,14,20,90,7,964
Primavara,9,24,40,6,544
Primavara,8,16,93,6,2325
Primavara,16,30,71,4,1392
Primavara,16,18,47,9,971
Toamna,8,25,14,9,255
Primavara,16,17,41,3,938
Primavara,14,21,48,5,506
Iarna,15,-5,56,8,470
Iarna,10,0,60,4,378
Iarna,15,-18,65,8,320
Toamna,9,10,37,8,498
Vara,15,34,86,3,4828
Iarna,8,-20,80,5,500
Vara,12,40,22,6,1667
Iarna,13,-19,63,8,384
Primavara,16,29,78,8,1747
Iarna,15,-7,0,10,222
Iarna,16,-20,39,9,177
Vara,15,29,40,4,2103
Vara,10,40,48,8,1747
Toamna,13,12,80,4,611
Toamna,11,19,63,2,653
Iarna,11,-18,75,10,406
Primavara,13,19,33,8,518
Iarna,10,-1,91,6,271
Vara,14,36,62,7,2514
Primavara,13,15,66,4,2134
Iarna,13,-17,53,6,395
Toamna,10,10,40,2,495
Toamna,15,13,54,6,539
Vara,8,38,22,10,2247
Primavara,13,24,98,8,2107
Vara,11,39,60,5,3489
Toamna,14,10,97,6,559
Vara,15,31,65,2,3563
Vara,16,26,65,5,2616
Toamna,10,19,71,10,651
Primavara,11,20,39,9,731
Toamna,16,10,78,6,620
Vara,10,35,38,2,1877
Iarna,16,-19,69,6,301
Iarna,10,-6,82,2,383
Vara,15,25,15,8,1342
Primavara,8,15,21,3,783
Iarna,11,-5,100,6,260
Vara,13,36,26,7,848
Toamna,16,20,16,2,242
Primavara,11,24,68,7,1708
Vara,8,29,18,2,625
Toamna,11,13,65,6,849
Vara,10,30,72,2,4154
Vara,14,32,69,4,2905
Iarna,13,-9,1,6,51
Vara,14,40,35,6,2163
Iarna,13,3,10,7,196
Toamna,12,13,56,10,843
Vara,15,38,90,3,3630
Vara,8,29,50,9,701
Primavara,16,29,0,2,546
Primavara,8,30,65,6,1637
Toamna,10,16,10,4,132
Iarna,13,-4,71,9,265
Vara,8,37,38,5,889
Iarna,11,-6,35,10,246
Toamna,12,13,12,5,495
Vara,15,35,29,5,682
Primavara,15,25,48,8,914
Vara,13,30,53,6,3914
Iarna,8,5,91,10,274
Iarna,14,-15,50,7,16
Toamna,8,25,6,5,186
Primavara,14,30,23,3,586
Primavara,16,27,53,8,1528
Toamna,16,15,29,10,274
Toamna,11,23,53,2,913
Primavara,12,15,70,7,1036
Iarna,13,-14,93,5,374
Vara,14,37,17,9,1678
Iarna,9,-19,95,3,426
Iarna,9,-12,77,4,314
Vara,9,27,41,7,644
Primavara,11,21,26,3,774
Iarna,8,4,42,5,54
Toamna,12,13,67,8,660
Toamna,10,23,65,10,802
Iarna,9,-1,95,5,291
Toamna,15,17,54,5,930
Primavara,12,16,70,8,1819
Iarna,12,-12,63,3,434
Iarna,11,-14,16,6,31
Vara,16,30,80,10,4392
Primavara,13,17,93,7,1008
Primavara,10,27,67,7,1648
Toamna,10,23,6,2,401
Iarna,10,-12,47,4,152
Iarna,14,-17,80,4,438
Iarna,14,-15,67,3,260
Toamna,14,25,73,8,599
Iarna,12,-20,74,2,351
Vara,11,39,22,9,1099
Iarna,14,1,78,6,447
Toamna,8,16,36,9,436
Toamna,12,15,45,5,174
Toamna,12,17,33,5,442
Primavara,12,28,25,8,512
Primavara,9,21,89,6,1802
Primavara,16,24,81,9,1862
Primavara,16,28,80,9,2216
Primavara,13,19,36,9,797
Toamna,8,12,60,7,816
Iarna,11,-16,41,4,226
Vara,9,36,39,7,2380
Vara,8,39,38,4,1990
Toamna,15,15,9,4,431
Iarna,11,-17,73,9,258
Iarna,8,-15,82,7,461
Toamna,8,19,16,10,184
Vara,9,35,53,4,4192
Toamna,13,13,96,10,869
Primavara,16,16,14,8,854
Primavara,10,24,27,2,989
Iarna,16,5,27,3,9
Toamna,16,25,19,2,153
Iarna,15,-14,74,9,420
Toamna,10,18,41,3,343
Toamna,13,19,77,9,592
Iarna,11,-1,3,10,168
Toamna,10,25,8,10,420
Vara,15,32,93,6,2825
Toamna,10,14,50,2,375
Vara,13,34,59,3,4587
Vara,12,40,22,6,2473
Vara,8,28,1,6,676
Vara,16,40,69,5,4817
Iarna,15,-12,57,3,304
Primavara,16,29,20,2,827
Iarna,13,-20,20,8,84
Iarna,14,-12,62,3,428
Primavara,12,30,66,8,2420
Vara,16,35,79,9,4118
Vara,14,38,59,9,2785
Iarna,9,-7,87,10,423
Iarna,14,-16,6,3,27
Iarna,11,4,44,10,81
Vara,15,32,62,10,3162
Primavara,15,27,69,9,1355
Vara,15,27,15,2,823
Primavara,15,28,40,4,926
Iarna,12,-15,48,6,236
Vara,8,25,7,7,1713
Vara,11,29,13,3,1319
Toamna,10,21,99,3,841
Toamna,11,14,64,5,955
Toamna,16,22,20,3,225
Toamna,12,18,77,4,642
Toamna,11,14,48,9,414
Primavara,8,30,41,8,725
Vara,8,33,1,4,628
Primavara,12,22,22,6,519
Iarna,13,-6,71,6,321
Primavara,10,22,74,3,1835
Toamna,12,25,68,8,813
Iarna,14,1,98,5,467
Toamna,15,24,71,3,719
Vara,8,35,31,8,1177
Vara,9,29,39,9,1998
Vara,10,30,71,6,2591
Vara,11,27,18,10,1844
Toamna,8,22,57,10,653
Toamna,16,18,15,9,297
Toamna,14,18,21,3,158
Primavara,15,19,31,3,858
Vara,12,27,55,5,3643
Toamna,15,14,22,5,209
Primavara,15,19,95,9,1251
Vara,9,26,54,8,4069
Vara,11,40,72,3,2571
Iarna,10,-19,26,6,66
Vara,9,35,53,4,4327
Vara,14,31,16,6,1256
Iarna,16,-9,76,10,466
Iarna,13,-1,32,3,12
Primavara,14,24,9,10,582
Vara,13,35,9,9,2114
Primavara,9,19,1,2,945
Iarna,15,-15,81,7,312
Primavara,16,24,25,7,654
Toamna,11,15,27,3,410
Toamna,13,24,28,9,160
Vara,13,38,40,5,1166
Vara,11,25,17,10,1018
Primavara,15,20,66,4,1794
Iarna,13,3,50,8,192
Iarna,13,-6,69,4,362
Primavara,16,20,81,2,1598
Iarna,14,-5,16,8,246
Vara,15,36,39,3,1012
Primavara,10,26,64,7,2149
Primavara,14,27,32,2,758
Primavara,11,30,26,9,772
Iarna,8,-17,20,7,120
Primavara,9,17,78,10,2006
Toamna,15,11,67,4,764
Toamna,10,11,77,2,723
Iarna,10,-3,95,10,417
Primavara,16,15,62,2,1467
Iarna,8,-17,92,5,311
Primavara,14,30,56,9,2333
Primavara,12,26,97,3,1682
Toamna,13,19,68,3,645
Primavara,10,30,1,3,690
Toamna,8,11,86,5,910
Primavara,12,19,77,5,1772
Primavara,9,16,70,6,1769
Primavara,16,20,53,9,1978
Toamna,10,20,24,3,437
Toamna,10,13,34,5,148
Iarna,10,-12,30,5,238
Iarna,15,-18,30,4,45
Toamna,13,24,17,9,172
Iarna,10,4,88,2,377
Toamna,9,20,60,9,911
Iarna,12,-1,90,2,368
Toamna,8,11,67,6,963
Primavara,10,15,86,2,1246
Toamna,8,12,22,3,228
Vara,14,40,50,7,1346
Vara,10,25,13,9,1418
Primavara,12,15,93,3,1580
Primavara,8,26,36,10,783
Primavara,8,20,28,10,538
Vara,10,39,90,3,4701
Primavara,13,18,77,9,1098
Primavara,12,26,0,10,878
Primavara,12,21,18,5,810
Toamna,10,21,65,10,737
Primavara,8,27,34,3,622
Toamna,10,10,99,8,586
Vara,10,32,94,8,4911
Toamna,12,10,64,2,652
Iarna,16,-5,39,6,222
Primavara,8,20,79,6,1695
Toamna,9,24,97,5,932
Iarna,15,-19,24,6,143
Vara,8,29,64,7,3597
Iarna,12,0,37,2,231
Iarna,11,-16,80,5,486
Primavara,9,17,87,3,1338
Primavara,13,16,17,9,907
Primavara,12,21,11,4,820
Iarna,8,-2,34,5,239
Primavara,16,26,30,7,921
Iarna,14,-12,12,3,115
Primavara,16,30,29,8,733
Primavara,15,25,71,4,1331
Toamna,15,23,65,8,719
Vara,13,29,40,3,1723
Iarna,13,-1,0,6,245
Primavara,16,17,91,4,1332
Primavara,11,27,82,5,2273
Primavara,12,27,47,8,912
Iarna,10,-18,91,10,411
Primavara,8,27,72,7,1026
Toamna,10,20,39,5,178
Primavara,14,21,65,10,1077
Iarna,15,2,94,4,251
Primavara,14,26,35,6,646
Vara,13,34,59,2,4515
Primavara,12,21,9,8,512
Vara,16,34,79,9,4527
Iarna,8,-4,17,6,89
Primavara,8,26,50,3,761
Iarna,13,-4,55,7,436
Vara,12,40,57,10,2981
Primavara,14,18,64,8,1235
Vara,9,40,78,9,4492
Iarna,10,-3,93,3,380
Iarna,8,-5,34,3,41
Toamna,14,18,47,8,315
Primavara,16,17,13,7,630
Vara,10,26,74,5,2560
Toamna,11,25,79,10,846
Vara,9,35,69,4,2918
Vara,15,31,4,4,1457
Primavara,9,25,46,7,831
Vara,14,34,42,6,2187
Iarna,11,-7,9,10,158
Toamna,12,19,57,5,682
Vara,8,32,40,3,1133
Iarna,9,-3,87,2,328
Primavara,14,15,72,4,1144
Primavara,12,18,32,9,830
Vara,15,35,35,3,650
Toamna,13,19,90,9,657
Iarna,13,5,50,6,12
Primavara,13,22,1,7,969
Primavara,13,28,55,7,1416
Vara,15,26,39,8,2467
Vara,9,32,53,2,3003
Vara,8,30,26,3,2130
Primavara,13,30,11,10,912
Iarna,9,-20,61,5,446
Primavara,10,25,88,3,1007
Vara,14,39,27,3,1487
Iarna,14,-17,95,9,314
Iarna,12,-1,49,9,73
Toamna,11,12,46,6,213
Toamna,14,12,53,6,675
Primavara,11,27,4,9,501
Primavara,9,20,13,10,568
Vara,15,25,11,6,1130
Vara,13,39,24,6,1658
Primavara,16,15,77,8,1540
Primavara,8,28,75,2,1458
Primavara,8,23,60,7,1465
Toamna,9,24,67,9,746
Primavara,16,25,81,5,1313
Toamna,14,24,70,6,825
Iarna,9,-8,82,8,441
Iarna,11,-13,88,2,421
Toamna,14,17,85,3,967
Vara,11,33,40,9,912
Iarna,15,-2,3,5,214
Toamna,15,25,91,2,816
Primavara,11,26,29,3,831
Toamna,12,11,68,7,644
Iarna,11,-3,45,8,169
Primavara,15,28,42,10,744
Vara,14,37,69,9,2561
Iarna,15,1,44,9,111
Primavara,8,26,5,5,590
Toamna,16,13,97,4,752
Vara,13,27,55,5,4202
Vara,12,25,34,10,1956
Iarna,15,-15,95,2,291
Iarna,8,-9,58,7,446
Vara,16,40,39,10,2289
Iarna,10,-7,65,7,304
Toamna,12,22,71,2,566
Toamna,11,21,57,4,641
Primavara,10,25,25,7,735
Vara,10,34,29,6,1780
Iarna,16,-15,47,3,13
Toamna,10,17,40,7,185
Toamna,16,19,31,4,429
Toamna,10,19,54,7,594
Vara,11,35,97,9,4511
Toamna,16,13,10,10,184
Primavara,13,22,97,4,1055
Vara,9,36,34,3,1989
Iarna,9,-15,51,2,433
Toamna,9,25,66,9,590
Iarna,12,-15,75,8,379
Iarna,13,0,95,10,359
Primavara,11,18,18,8,596
Toamna,16,14,52,3,816
Primavara,13,20,62,4,2321
Iarna,9,-8,44,2,20
Primavara,12,26,38,8,620
Toamna,12,17,73,4,551
Toamna,16,20,73,8,501
Primavara,13,15,12,8,512
Primavara,12,28,99,4,1332
Iarna,15,-3,95,10,419
Vara,11,32,65,2,3238
Primavara,16,28,97,8,1745
Iarna,16,-9,45,5,88
Iarna,15,2,44,2,42
Primavara,10,25,32,9,966
Primavara,14,29,99,6,1982
Toamna,10,11,49,10,452
Iarna,16,-7,11,8,61
Iarna,13,0,59,6,354
Toamna,11,21,79,8,668
Primavara,10,24,61,5,1118
Iarna,9,-16,84,5,336
Primavara,13,23,26,7,947
Toamna,16,11,8,5,320
Toamna,10,20,18,6,113
Primavara,11,21,45,4,716
Toamna,15,11,68,2,773
Iarna,15,-11,7,9,216
Vara,16,25,76,8,4379
Vara,10,33,10,5,1633
Toamna,13,11,31,9,247
Iarna,14,-9,85,4,399
Iarna,16,-17,32,9,243
Toamna,15,12,73,9,565
Vara,14,31,25,4,1280
Primavara,14,28,82,9,2359
Primavara,8,29,63,10,2374
Toamna,10,19,95,9,560
Primavara,12,25,50,6,659
Toamna,15,14,90,8,778
Iarna,14,-9,42,5,30
Toamna,15,22,7,10,412
Toamna,16,15,73,5,624
Toamna,8,25,94,7,643
Primavara,8,18,74,10,1611
Primavara,14,28,75,2,1966
Primavara,11,26,9,6,921
Primavara,13,22,95,9,1964
Primavara,14,20,7,2,811
Iarna,12,-8,10,5,145
Toamna,15,10,15,7,183
Primavara,15,25,52,4,1907
Primavara,14,19,61,10,1243
Iarna,14,-4,91,6,500
Toamna,9,20,83,9,703
Toamna,14,23,17,8,338
Vara,9,39,81,8,4365
Iarna,16,1,72,8,355
Vara,13,31,56,7,4367
Iarna,12,-16,41,9,242
Primavara,16,15,1,8,857
Vara,14,35,36,9,758
Primavara,10,26,37,10,720
Iarna,14,-6,12,5,61
Vara,11,31,18,3,761
Primavara,12,22,65,6,2119
Vara,12,39,95,3,3657
Iarna,14,-15,55,5,252
Primavara,13,19,34,4,604
Vara,10,26,63,9,4617
Vara,10,35,58,9,3951
Primavara,12,20,77,4,2202
Primavara,13,21,84,8,1030
Primavara,12,15,85,5,2205
Iarna,11,-2,10,5,190
Vara,9,29,86,2,2785
Toamna,8,23,4,8,245
Vara,16,35,55,10,4738
Primavara,15,25,33,10,799
Primavara,10,17,54,3,1671
Vara,8,30,82,7,4490
Vara,10,39,26,2,1079
Iarna,13,-11,39,7,71
Primavara,14,30,87,7,1659
Vara,15,36,62,9,3032
Iarna,13,-20,45,10,48
Primavara,8,27,60,2,1609
Iarna,10,-1,45,8,163
Primavara,12,28,0,7,952
Iarna,15,-12,88,3,291
Vara,12,36,21,6,2363
Primavara,10,29,44,9,928
Vara,14,26,35,3,2036
Primavara,13,27,99,8,1236
Primavara,15,17,73,7,1155
Primavara,11,18,80,4,1001
Iarna,12,-14,56,8,296
Primavara,15,24,98,10,2046
